Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Label
8,33,45,24,45,71,96,66,13,76,1
92,45,57,58,79,43,56,81,24,71,0
83,83,24,15,35,57,51,71,8,82,-1
87,61,77,100,99,54,48,23,10,9,-1
57,61,51,55,49,48,14,75,70,98,-1
91,67,59,20,39,52,36,39,51,45,1
47,39,1,95,3,10,16,82,54,37,0
89,10,56,82,88,48,37,96,40,17,-1
13,44,5,1,46,82,73,33,54,62,0
28,32,100,42,73,4,100,19,19,34,0
70,23,17,14,87,42,67,75,81,37,-1
81,79,37,67,29,96,100,53,39,53,1
11,56,98,50,66,59,92,6,79,84,-1
96,45,13,42,94,65,91,44,14,74,0
43,83,70,47,1,64,84,67,74,64,0
19,19,91,25,1,27,72,69,62,47,1
98,80,90,66,71,72,5,15,68,97,-1
50,21,10,6,71,16,63,40,74,64,1
28,56,99,92,59,17,30,56,4,99,0
64,22,10,46,19,20,99,42,68,94,1
95,86,44,21,98,15,91,89,23,41,1
9,51,74,63,66,68,61,93,86,14,-1
48,80,84,89,86,95,43,43,29,25,0
49,1,64,72,7,85,15,0,17,67,-1
64,0,72,89,4,95,15,53,48,87,-1
62,92,47,86,89,2,27,93,55,52,0
100,37,37,32,64,18,10,69,72,7,1
67,36,1,10,61,73,49,78,46,16,-1
27,26,39,93,51,55,99,30,53,83,0
11,97,50,92,61,37,76,3,23,41,0
90,45,75,79,96,19,52,51,83,79,-1
14,92,38,63,68,100,3,73,10,61,0
75,78,70,6,94,88,82,99,23,99,-1
55,64,92,40,4,96,66,49,97,74,1
96,6,47,74,2,45,100,42,9,93,1
20,26,34,80,13,12,11,80,81,54,0
96,68,13,55,38,77,87,27,70,18,1
44,69,39,30,9,76,68,75,51,27,0
80,98,84,85,96,36,19,95,4,26,1
95,9,27,62,17,65,99,80,59,40,-1
87,13,89,63,74,87,78,93,6,26,-1
22,20,79,21,87,58,64,84,85,36,-1
82,10,83,3,10,7,70,50,82,85,-1
11,10,2,16,99,76,68,76,57,30,-1
17,50,93,16,45,55,66,43,32,75,-1
97,85,69,5,21,50,75,58,27,39,-1
69,19,41,71,5,80,89,84,57,89,-1
88,89,53,57,52,27,65,100,45,97,1
9,14,70,68,58,75,78,48,86,59,1
95,2,21,18,66,32,91,91,66,51,-1
54,55,85,86,58,88,50,54,91,89,0
88,36,41,39,81,4,23,24,20,12,-1
